ALL: 1
NULL: 2
PC1 : 2
PC2 : 1
PC3 : 1
PC4 : 2
PC5 : 2
PC6 : 2
PC7 : 2
PC8 : 2
PC9 : 2
PC10 : 2
PC11 : 2
PC12 : 1
PC13 : 1
PC14 : 1
PC15 : 2
PC16 : 1
PC17 : 1
PC18 : 2
PC19 : 2
PC20 : 2
PC21 : 2
PC22 : 2
PC23 : 2
PC24 : 2
PC25 : 2
PC26 : 2
PC27 : 1
PC28 : 1
PC29 : 2
PC30 : 2
PC31 : 2
PC32 : 2
PC33 : 2
PC34 : 2
PC35 : 2
PC36 : 2
PC37 : 1
PC38 : 2
PC39 : 2
PC40 : 2
PC41 : 2
PC42 : 2
PC43 : 2
PC44 : 2
PC45 : 2
PC46 : 2
PC47 : 2
PC1 2 : 1
PC1 3 : 1
PC1 4 : 2
PC1 5 : 2
PC1 6 : 2
PC1 7 : 2
PC1 8 : 2
PC1 9 : 2
PC1 10 : 2
PC1 11 : 2
PC1 12 : 1
PC1 13 : 1
PC1 14 : 1
PC1 15 : 2
PC1 16 : 1
PC1 17 : 1
PC1 18 : 2
PC1 19 : 2
PC1 20 : 2
PC1 21 : 2
PC1 22 : 2
PC1 23 : 2
PC1 24 : 2
PC1 25 : 2
PC1 26 : 2
PC1 27 : 1
PC1 28 : 1
PC1 29 : 2
PC1 30 : 2
PC1 31 : 2
PC1 32 : 2
PC1 33 : 2
PC1 34 : 2
PC1 35 : 2
PC1 36 : 2
PC1 37 : 1
PC1 38 : 2
PC1 39 : 2
PC1 40 : 2
PC1 41 : 2
PC1 42 : 2
PC1 43 : 2
PC1 44 : 2
PC1 45 : 2
PC1 46 : 2
PC1 47 : 2
PC2 3 : 1
PC2 4 : 1
PC2 5 : 1
PC2 6 : 1
PC2 7 : 1
PC2 8 : 1
PC2 9 : 1
PC2 10 : 1
PC2 11 : 1
PC2 12 : 1
PC2 13 : 1
PC2 14 : 1
PC2 15 : 1
PC2 16 : 1
PC2 17 : 1
PC2 18 : 1
PC2 19 : 1
PC2 20 : 1
PC2 21 : 1
PC2 22 : 1
PC2 23 : 1
PC2 24 : 1
PC2 25 : 1
PC2 26 : 1
PC2 27 : 1
PC2 28 : 1
PC2 29 : 1
PC2 30 : 1
PC2 31 : 1
PC2 32 : 1
PC2 33 : 1
PC2 34 : 1
PC2 35 : 1
PC2 36 : 1
PC2 37 : 1
PC2 38 : 1
PC2 39 : 1
PC2 40 : 1
PC2 41 : 1
PC2 42 : 1
PC2 43 : 1
PC2 44 : 1
PC2 45 : 1
PC2 46 : 1
PC2 47 : 1
PC3 4 : 1
PC3 5 : 1
PC3 6 : 1
PC3 7 : 1
PC3 8 : 1
PC3 9 : 1
PC3 10 : 1
PC3 11 : 1
PC3 12 : 1
PC3 13 : 1
PC3 14 : 1
PC3 15 : 1
PC3 16 : 1
PC3 17 : 1
PC3 18 : 1
PC3 19 : 1
PC3 20 : 1
PC3 21 : 1
PC3 22 : 1
PC3 23 : 1
PC3 24 : 1
PC3 25 : 1
PC3 26 : 1
PC3 27 : 1
PC3 28 : 1
PC3 29 : 1
PC3 30 : 1
PC3 31 : 1
PC3 32 : 1
PC3 33 : 1
PC3 34 : 1
PC3 35 : 1
PC3 36 : 1
PC3 37 : 1
PC3 38 : 1
PC3 39 : 1
PC3 40 : 1
PC3 41 : 1
PC3 42 : 1
PC3 43 : 1
PC3 44 : 1
PC3 45 : 1
PC3 46 : 1
PC3 47 : 1
PC4 5 : 2
PC4 6 : 2
PC4 7 : 2
PC4 8 : 2
PC4 9 : 2
