     0: >>> E[0:00:00]-R[?]: Return=    -710.6, Steps=400.0, Features = 10
   200: >>> E[0:00:09]-R[0:01:22]: Return=    -696.6, Steps=400.0, Features = 10
   400: E[0:00:18]-R[0:01:13]: Return=      -644, Steps= 400, Features = 10
   400: >>> E[0:00:18]-R[0:01:14]: Return=    -698.6, Steps=400.0, Features = 10
   600: >>> E[0:00:28]-R[0:01:04]: Return=    -701.9, Steps=400.0, Features = 10
   800: E[0:00:37]-R[0:00:55]: Return=      -742, Steps= 400, Features = 10
   800: >>> E[0:00:37]-R[0:00:55]: Return=    -698.8, Steps=400.0, Features = 10
  1000: >>> E[0:00:46]-R[0:00:46]: Return=    -700.6, Steps=400.0, Features = 10
  1200: E[0:00:55]-R[0:00:37]: Return=      -731, Steps= 400, Features = 10
  1200: >>> E[0:00:55]-R[0:00:37]: Return=    -706.3, Steps=400.0, Features = 10
  1400: >>> E[0:01:05]-R[0:00:28]: Return=    -711.8, Steps=400.0, Features = 10
  1600: E[0:01:14]-R[0:00:18]: Return=      -574, Steps= 400, Features = 10
  1600: >>> E[0:01:14]-R[0:00:18]: Return=    -696.3, Steps=400.0, Features = 10
  1800: >>> E[0:01:23]-R[0:00:09]: Return=    -686.1, Steps=400.0, Features = 10
  2000: E[0:01:33]-R[0:00:00]: Return=      -720, Steps= 400, Features = 10
  2000: >>> E[0:01:33]-R[0:00:00]: Return=    -710.8, Steps=400.0, Features = 10
Total Experiment Duration 0:01:33
     0: >>> E[0:00:00]-R[?]: Return=    -710.6, Steps=400.0, Features = 12
   200: >>> E[0:00:11]-R[0:01:43]: Return=    -696.3, Steps=400.0, Features = 12
   400: E[0:00:23]-R[0:01:31]: Return=      -656, Steps= 400, Features = 12
   400: >>> E[0:00:23]-R[0:01:31]: Return=    -695.5, Steps=400.0, Features = 12
   600: >>> E[0:00:34]-R[0:01:20]: Return=    -697.5, Steps=400.0, Features = 12
   800: E[0:00:46]-R[0:01:09]: Return=      -751, Steps= 400, Features = 12
   800: >>> E[0:00:46]-R[0:01:09]: Return=      -700, Steps=400.0, Features = 12
  1000: >>> E[0:00:57]-R[0:00:57]: Return=      -696, Steps=400.0, Features = 12
  1200: E[0:01:09]-R[0:00:46]: Return=      -737, Steps= 400, Features = 12
  1200: >>> E[0:01:09]-R[0:00:46]: Return=    -703.8, Steps=400.0, Features = 12
  1400: >>> E[0:01:20]-R[0:00:34]: Return=    -711.8, Steps=400.0, Features = 12
  1600: E[0:01:32]-R[0:00:23]: Return=      -570, Steps= 400, Features = 12
  1600: >>> E[0:01:32]-R[0:00:23]: Return=    -700.1, Steps=400.0, Features = 12
  1800: >>> E[0:01:44]-R[0:00:12]: Return=      -687, Steps=400.0, Features = 12
  2000: E[0:01:55]-R[0:00:00]: Return=      -563, Steps= 400, Features = 12
  2000: >>> E[0:01:55]-R[0:00:00]: Return=     -3.06, Steps=400.0, Features = 12
Total Experiment Duration 0:01:55
     0: >>> E[0:00:00]-R[?]: Return=    -710.6, Steps=400.0, Features = 12
   200: >>> E[0:00:14]-R[0:02:03]: Return=    -696.3, Steps=400.0, Features = 12
   400: E[0:00:27]-R[0:01:50]: Return=      -656, Steps= 400, Features = 12
   400: >>> E[0:00:28]-R[0:01:50]: Return=    -695.5, Steps=400.0, Features = 12
   600: >>> E[0:00:41]-R[0:01:35]: Return=    -697.5, Steps=400.0, Features = 12
   800: E[0:00:55]-R[0:01:22]: Return=      -751, Steps= 400, Features = 12
   800: >>> E[0:00:55]-R[0:01:22]: Return=      -700, Steps=400.0, Features = 12
  1000: >>> E[0:01:09]-R[0:01:09]: Return=      -696, Steps=400.0, Features = 12
  1200: E[0:01:22]-R[0:00:55]: Return=      -737, Steps= 400, Features = 12
  1200: >>> E[0:01:22]-R[0:00:55]: Return=    -703.8, Steps=400.0, Features = 12
  1400: >>> E[0:01:36]-R[0:00:41]: Return=    -711.8, Steps=400.0, Features = 12
  1600: E[0:01:50]-R[0:00:28]: Return=      -570, Steps= 400, Features = 12
  1600: >>> E[0:01:50]-R[0:00:28]: Return=    -700.1, Steps=400.0, Features = 12
  1800: >>> E[0:02:04]-R[0:00:14]: Return=      -687, Steps=400.0, Features = 12
  2000: E[0:02:18]-R[0:00:00]: Return=      -563, Steps= 400, Features = 12
  2000: >>> E[0:02:18]-R[0:00:00]: Return=     -3.06, Steps=400.0, Features = 12
Total Experiment Duration 0:02:18
